Unnamed: 0,Unnamed: 1,TABELA DE MEDICAMENTOS - PLANSERV ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,VERSÃO,2026-02-01 00:00:00,,,
,,,,,,
,,,,,,
CÓDIGO DO GRUPO,GRUPO DE CLASSIFICAÇÃO,CÓDIGO DO MEDICAMENTO,DESCRIÇÃO DO MEDICAMENTO,FRAÇÃO,UNIDADE,VALOR (R$)
2000,GERAL,90019183,RAGIONE - 36 MG COM REV LIB PROL,1,COMP,10.55
2000,GERAL,90019180,ADENOSINA – GENERICO - 3 MG/ML SOL INJ AMP VD X 2 ML,1,AMP,14.96
2000,GERAL,90019199,FERINJECT 50 MG/ML SOL INJ IV FA X 10 ML,1,FA,629.94
2000,GERAL,90005260,HALEXMINOPHEN 10 MG/ML SOL INFUS IV ENVOL BOLSA SIST FECH X 50 ML,1,BOLSA,12.47
2000,GERAL,90005279,HALEXMINOPHEN 10 MG/ML SOL INFUS IV ENVOL BOLSA SIST FECH X 100 ML,1,BOLSA,23.87
2013,SUPORTE MEDICAMENTOSO,90005287,"NEPEXTO 50 MG/ML SOL INJ SC SER PREENC X 1,0 ML",1,SER,630.87
2014,ANTINEOPLASICOS,90005295,LORBRENA 100 MG COM REV,1,COM,934.42
2014,ANTINEOPLASICOS,90005309,LORBRENA 25 MG COM REV,1,COM,238.16
2013,SUPORTE MEDICAMENTOSO,90005317,"HULIO 50 MG/ML SOL INJ SER PREENC X 0,8 ML",1,SER,1559.03
2000,GERAL,90005325,"FENTANEST 0,02 MG/ML SOL INFUS IV ENVOL BOLSA SIST FECH X 250 ML",1,BOLSA,190.6
2000,GERAL,90005333,AZITROMICINA 40 MG/ML PO SUS ORAL FR PLAS X 15 ML,1,FR,26.82
2014,ANTINEOPLASICOS,90005341,ABEVMY 25 MG/ML SOL DIL INFU IV FA X 16 ML,400,MG,6.46
2014,ANTINEOPLASICOS,90005350,ABEVMY 25 MG/ML SOL DIL INFU IV FA X 4 ML,100,MG,6.37
2014,ANTINEOPLASICOS,90390814,VEGZELMA 25 MG/ML SOL DIL INFU IV FA X 16 ML,1,MG,6.46
2014,ANTINEOPLASICOS,90390822,VEGZELMA 25 MG/ML SOL DIL INFU IV FA X 4 ML,1,MG,6.37
2014,ANTINEOPLASICOS,90390849,"ZIEXTENZO 10 MG/ML SOL INJ SER PREENC X 0,6 ML",1,SER,4289.07
2014,ANTINEOPLASICOS,90390865,"PEGTIMA 10 MG/ ML SOL INJ SER PREENCH X 0,6 ML",1,SER,4289.07
2013,SUPORTE MEDICAMENTOSO,90390830,RENFLEXIS 100 MG PO LIOF INJ FA,1,FA,2225.56
2013,SUPORTE MEDICAMENTOSO,90390857,"YUFLYMA 100 MG/ML SOL INJ SER PREENCH x 0,4 ML",1,SER,1559.03
2013,SUPORTE MEDICAMENTOSO,90390695,ERELZI 50 MG SOL INJ SER PREENC x 1 ML,1,SER,630.83
2000,GERAL,90390709,MEROPENEM – GENERICO - 1 G PO SOL INFUS IV BOLSA SIST FECH X 50 ML,1,BOLSA,175.47
2000,GERAL,90390717,MOXIFLOXACINO – GENERICO - 5 MG/ML SOL OFT FR GOT x 5 ML,1,FR,26.09
2014,ANTINEOPLASICOS,90390725,SIMBEVA 25 MG/ML SOL DIL INFUS IV x 4 ML,100,MG,6.37
2014,ANTINEOPLASICOS,90390733,SIMBEVA 25 MG/ML SOL DIL INFUS IV x 16 ML,400,MG,6.46
2000,GERAL,90390741,SOL. DIALÍTICA BICA 20 SÓDIO 125 POTÁSSIO 2 LIFE PARA CRRT 5000 ML,1,BOLSA,268.8
2000,GERAL,90390750,SOL. DIALITICA BICA 35 SODIO 140 POTASSIO 2 LIFE PARA CRRT 5000 ML,1,BOLSA,268.8
2000,GERAL,90390768,"TRIMBOW AEROSSOL (100,0 + 6,0 +12,5) MCG 120 DOSES",1,FRASCO,363.73
2014,ANTINEOPLASICOS,90390776,UROHIPE BCG 40MG PO LIOF,1,MG,12.1
2014,ANTINEOPLASICOS,90390784,VEQUILE 50 MG/5ML SERINGA PREENCHIDA 5ML COM AGULHA,,SER,1588.68
2014,ANTINEOPLASICOS,90390792,"ZARZIO 30 MUI SOL INJ SER PREENC x 0,5 ML",1,SER,469.13
2000,GERAL,90390806,DELABAXI 300 MG PO LIOF SOL INJ IV,1,FR,256.31
2000,GERAL,90390660,ANTARA IV SOL INJ 100 MG/ML FA 5ML,1,FA,6.95
2014,ANTINEOPLASICOS,90390679,XTANDI 40 MG COM REV,1,COM,95.47
2014,ANTINEOPLASICOS,90390687,XTANDI 80 MG COM REV,1,CPR,190.94
2014,ANTINEOPLASICOS,90390610,AGATHA 75 MG CAP DURA,1,CAP,299.45
2014,ANTINEOPLASICOS,90390628,AGATHA 100 MG CAP DURA,1,CAP,430.32
2014,ANTINEOPLASICOS,90390636,AGATHA 125 MG CAP DURA,1,CAP,598.91
2013,SUPORTE MEDICAMENTOSO,90390644,"HADLIMA 40 MG SER PREENCH X 0,8 ML",1,SER,1559.03
2000,GERAL,90390652,"SOLUCAO DE CITRATO DE SODIO 0,5% - BOLSA 5000 ML",1,BL,340
2000,GERAL,90390571,DAPTOMICINA 350 MG PO LIOF SOL INJ/INFUS IV CT FA,1,FA,193.41
2000,GERAL,90390580,DAPTOMICINA 500 MG PO LIOF SOL INJ/INFUS IV CT FA,1,FA,274.57
2014,ANTINEOPLASICOS,90390598,RUXIENCE 10 MG/ML SOL DIL INFUS IV CT FA 10 ML,100,MG,8.5
2014,ANTINEOPLASICOS,90390601,RUXIENCE 10 MG/ML SOL DIL INFUS IV CT FA 50 ML,500,MG,8.5
2014,ANTINEOPLASICOS,90390512,LENANGIO 15 MG CAP,1,CAP,1059.02
2014,ANTINEOPLASICOS,90390520,LENANGIO 25 MG CAP,1,CAP,1170.96
2014,ANTINEOPLASICOS,90390539,DASATINIBE 20 MG COM REV X 60,1,CPR,93.8
2014,ANTINEOPLASICOS,90390547,DASATINIBE 100 MG COM REV X 30,1,CPR,372.55
2014,ANTINEOPLASICOS,90390555,LENANGIO 5 MG CAP,1,CAP,962.53
2014,ANTINEOPLASICOS,90390563,LENANGIO 10 MG CAP,1,CAP,996.31
2000,GERAL,90390490,ONDIF 8 MG FIL ENV X 10,1,FIL,6.81
2000,GERAL,90390504,ONDIF 4 MG FIL ENV X 10,1,FIL,3.46
2014,ANTINEOPLASICOS,90390431,SUZOPA 50 MG CAP DURA X 28,1,CAP,600.8
2014,ANTINEOPLASICOS,90390440,SUZOPA 25 MG CAP DURA X 28,1,CAP,300.41
2014,ANTINEOPLASICOS,90390458,"SUZOPA 12,5 MG CAP DURA X 28",1,CAP,150.2
2014,ANTINEOPLASICOS,90390466,"PEGNEUCYTE 10 MG/ML SER PREENCH X 0,6 ML",1,SER,4289.07
2014,ANTINEOPLASICOS,90390474,MVASI 25 MG SOL DIL INFUS IV x 16 ML,400,MG,6.46
2014,ANTINEOPLASICOS,90390482,MVASI 25 MG SOL DIL INFUS IV x 4 ML,100,MG,6.37
